,Address,Formatted address,Latitude,Longitude,Postal code,City,Country,Region
0,"Bhairavgarh Jail,Ujjain","6QCF+W69, Ganesh Nagar, Madhya Pradesh 456003, India",23.2222977,75.7731228,456003.0,Ganesh Nagar,India,Madhya Pradesh
1,"Garhkalika,Ujjain","1 Gadkalika Mandir, near Sthirman Ganesh, Urdupura, Ujjain, Madhya Pradesh 456006, India",23.2083623,75.7703657,456006.0,Ujjain,India,Madhya Pradesh
2,"Mangalnath,Ujjain","Mangalnath Setu, Madhya Pradesh, India",23.2225809,75.7846979,,,India,Madhya Pradesh
3,"Gayatri nagar,Ujjain","Gayatri Nagar, Rajendra Nagar, Ujjain, Madhya Pradesh 456006, India",23.1990126,75.7891083,456006.0,Ujjain,India,Madhya Pradesh
4,"Indira Gandhi,Ujjain","5QGQ+HCJ, Sindhi Colony, Ujjain, Madhya Pradesh 456010, India",23.1764665,75.7885163,456010.0,Ujjain,India,Madhya Pradesh
5,"Mohan nagar,Ujjain","Mohan Nagar, Ujjain, Madhya Pradesh 456006, India",23.1998048,75.7858387,456006.0,Ujjain,India,Madhya Pradesh
6,"Ankpaat,Ujjain","Ankpat Marg, Ujjain, Madhya Pradesh 456006, India",23.2026428,75.7774897,456006.0,Ujjain,India,Madhya Pradesh
7,"Avantika,Ujjain","Bus Stop, near Nanakheda, Nanakheda, Rishi Nagar, Ujjain, Madhya Pradesh 456010, India",23.1593315,75.7897871,456010.0,Ujjain,India,Madhya Pradesh
8,"Chausanth yogini,Ujjain","120, Chousath Yogini Marg, Nayapura, Urdupura, Ujjain, Madhya Pradesh 456001, India",23.1964306,75.7722355,456001.0,Ujjain,India,Madhya Pradesh
9,"Tilkeshwar,Ujjain","Pipli Naka Chouraha, Ujjain, Madhya Pradesh 456006, India",23.199243,75.7693999,456006.0,Ujjain,India,Madhya Pradesh
10,"Molana Ajad Colony,Jansapura,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
11,"kalidas,Ujjain","Rudra Sagar Lake, 5QM8+38C, near Maharaj Wada palace, Jaisinghpura, Ujjain, Madhya Pradesh 456001, India",23.1826902,75.76577019999999,456001.0,Ujjain,India,Madhya Pradesh
12,"Veer Durgadas,Ujjain","Veer Durgadas Marg, Ujjain, Madhya Pradesh, India",23.1917036,75.7661662,,Ujjain,India,Madhya Pradesh
13,"Sayyedna,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
14,"Geeta colony,Ujjain","Geeta Colony, Ujjain, Madhya Pradesh 456006, India",23.192914,75.7742128,456006.0,Ujjain,India,Madhya Pradesh
15,"Govardhan sagar colony,Ujjain","Govardhan Sagar, Patel Nagar, Ujjain, Madhya Pradesh 456006",23.1929834,75.7789359,456006.0,Ujjain,India,Madhya Pradesh
16,"Sandipani,Ujjain","Maharshri sandipani aashram, Sri Sarveshwar Mahadeva Temple, Mangalnath Marg, Ujjain, Madhya Pradesh 456006, India",23.2115911,75.78226819999999,456006.0,Ujjain,India,Madhya Pradesh
17,"Sudama,Ujjain","Sudama Nagar, Sirsagar, Ujjain, Madhya Pradesh 456006, India",23.1874912,75.7873707,456006.0,Ujjain,India,Madhya Pradesh
18,"Singh bhawani,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
19,"Brahspati,Ujjain","Gola Mandi, 5QQF+RWX, Advalpura, Ujjain, Madhya Pradesh 456001, India",23.1896026,75.7748636,456001.0,Ujjain,India,Madhya Pradesh
20,"Gopal mandir,Ujjain","Mahakaal Temple, Patni Bazar, Kamri Marg, Ujjain, Madhya Pradesh 456006, India",23.1880069,75.7711749,456006.0,Ujjain,India,Madhya Pradesh
21,"Ramanuj,Ujjain","Sidhasen Marg, 5QP8+G6C, Ramghat Marg, Harsiddhi Gate, Ujjain, Madhya Pradesh 456006, India",23.1863206,75.76552869999999,456006.0,Ujjain,India,Madhya Pradesh
22,"Palika,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
23,"Sirsagar,Ujjain","Sirsagar, Ujjain, Madhya Pradesh 456006, India",23.1871365,75.7892458,456006.0,Ujjain,India,Madhya Pradesh
24,"Chamunda mata,Ujjain","5QMM+822, Dabari Pitha, Malipura, Ujjain, Madhya Pradesh 456006, India",23.183252,75.7825099,456006.0,Ujjain,India,Madhya Pradesh
25,"Maharani laxmibai,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
26,"Dada bhai naroji,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
27,"Subhash,Ujjain","Subhash Nagar, Ujjain, Madhya Pradesh 456010, India",23.1677258,75.7875372,456010.0,Ujjain,India,Madhya Pradesh
28,"Pushkar,Ujjain","401A, Vivekanand Colony, Sindhi Colony, Ujjain, Madhya Pradesh 456006, India",23.1761321,75.78144379999999,456006.0,Ujjain,India,Madhya Pradesh
29,"Begambaag,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
30,"Jame shakeb,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
31,"Ahilya bai,Ujjain","Ahilya Bai Marg, Ujjain, Madhya Pradesh, India",23.1809797,75.771921,,Ujjain,India,Madhya Pradesh
32,"Harsiddhi,Ujjain","Harsiddhi Marg, Jaisinghpura, Ujjain, Madhya Pradesh, India",23.1837569,75.7657072,,Ujjain,India,Madhya Pradesh
33,"Mahakal,Ujjain","5QM9+58C, inside Mahankal Mandir, Jaisinghpura, Ujjain, Madhya Pradesh 456001, India",23.182905,75.76829099999999,456001.0,Ujjain,India,Madhya Pradesh
34,"Dr hariram choubey,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
35,"Nil ganga,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
36,"Prakash nagar,Ujjain","Prakash Nagar, Sindhi Colony, Ujjain, Madhya Pradesh 456006, India",23.1753832,75.78747349999999,456006.0,Ujjain,India,Madhya Pradesh
37,"Jal sewa,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
38,"Kishanpura,Ujjain","Kalidas Marg, 23, Maksi Rd, near Vidyut Mandal, Madhav Nagar, Ujjain, Madhya Pradesh 456010, India",23.1824388,75.7922189,456006.0,Ujjain,India,Madhya Pradesh
39,"Shri synthetics,Ujjain","5VW3+FRP, Ujjain, Madhya Pradesh 456664, India",23.1962209,75.8545934,456664.0,Ujjain,India,Madhya Pradesh
40,"Chakor park,Ujjain","Chakor Park Ground, chakor park, Industrial Area, Agrasen Nagar, Ujjain, Madhya Pradesh 456010, India",23.1835676,75.8184173,456010.0,Ujjain,India,Madhya Pradesh
41,"Bhaktnagar,Ujjain","Bhakt Nagar, Sethi Nagar, Ujjain, Madhya Pradesh 456010, India",23.1747437,75.79937079999999,456010.0,Ujjain,India,Madhya Pradesh
42,"Laxmi nagar,Ujjain","Laxmi Nagar, Desai Nagar, Ujjain, Madhya Pradesh, India",23.1813364,75.8029966,,Ujjain,India,Madhya Pradesh
43,"freeganj,Ujjain","Freeganj, Madhav Nagar, Ujjain, Madhya Pradesh, India",23.1784962,75.7916513,,Ujjain,India,Madhya Pradesh
44,"Sant vidhya narayan,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
45,"Shashtri nagar,Ujjain","Shastri Nagar, Ujjain, Madhya Pradesh, India",23.1705499,75.78438550000001,,Ujjain,India,Madhya Pradesh
46,"Alakhdham,Ujjain","Alakhdham Colony, Shastri Nagar, Ujjain, Madhya Pradesh 456010, India",23.1696819,75.7863891,456010.0,Ujjain,India,Madhya Pradesh
47,"Nana kheda,Ujjain","Nanakheda, Rishi Nagar, Ujjain, Madhya Pradesh 456010, India",23.156521,75.79019819999999,456010.0,Ujjain,India,Madhya Pradesh
48,"Muni nagar,Ujjain","Muni Nagar, Vyas Nagar, Rishi Nagar, Ujjain, Madhya Pradesh 456010, India",23.1655886,75.7898349,456010.0,Ujjain,India,Madhya Pradesh
49,"Rishi nagar,Ujjain","Rishi Nagar, Ujjain, Madhya Pradesh 456010, India",23.1648624,75.7938309,456010.0,Ujjain,India,Madhya Pradesh
50,"Pt din dayal,Ujjain","Ujjain, Madhya Pradesh, India",23.1764665,75.7885163,,Ujjain,India,Madhya Pradesh
51,"Damdama Colony,Ujjain","5RC3+GRX, Sethi Nagar, Ujjain, Madhya Pradesh 456010, India",23.1713528,75.8046153,456010.0,Ujjain,India,Madhya Pradesh
52,"Engineering college,Ujjain","4QWV+6F4, Ujjain - Indore Rd, Vasant Vihar, Ujjain, Madhya Pradesh 456010, India",23.1455045,75.79370010000001,456010.0,Ujjain,India,Madhya Pradesh
53,"Nagziri,Ujjain, Madhya Pradesh","Nagziri, Ujjain, Madhya Pradesh 456664, India",23.1431577,75.811267,456664.0,Ujjain,India,Madhya Pradesh
54,"Lalpur,Ujjain","4RVM+3M7, Ujjain, Madhya Pradesh 456664, India",23.1426699,75.834183,456664.0,Ujjain,India,Madhya Pradesh
